station_id,station_name,candidate_url,score
wypr-license-holding-llc,WYPR License Holding LLC,https://www.wypr.org/your-public-radio-fcc-public-file,10
wypr-license-holding-llc,WYPR License Holding LLC,https://www.wypr.org/people/anastasia-tsioulcas,9
salt-pond-community-broadcasting-co,Salt Pond Community Broadcasting Co.,https://fcc.report/company/SALT-POND-COMMUNITY-BROADCASTING,8
interlochen-center-for-the-arts,Interlochen Center for the Arts,https://www.interlochenpublicradio.org/about-our-journalism,10
interlochen-center-for-the-arts,Interlochen Center for the Arts,https://www.interlochenpublicradio.org/people/ellie-katz,9
interlochen-center-for-the-arts,Interlochen Center for the Arts,https://www.interlochenpublicradio.org/tags/community-connection-concerts,9
detroit-classical-and-jazz-educational-radio-llc,Detroit Classical and Jazz Educational Radio LLC,https://www.wrcjfm.org/features/2024-detroit-jazz-festival-photos/,11
detroit-classical-and-jazz-educational-radio-llc,Detroit Classical and Jazz Educational Radio LLC,https://www.wrcjfm.org/features/2025-detroit-jazz-festival/,11
detroit-classical-and-jazz-educational-radio-llc,Detroit Classical and Jazz Educational Radio LLC,https://www.wrcjfm.org/features/celebrating-detroits-jazz-artists/,11
minnesota-public-radio,Minnesota Public Radio,https://access.minnesota.publicradio.org/,8
center-for-communication-and-development,Center for Communication and Development,https://dc.gov/page/about-district-government-website,9
center-for-communication-and-development,Center for Communication and Development,https://dc.gov/page/education-resource-center,9
center-for-communication-and-development,Center for Communication and Development,https://dc.gov/page/government-resource-center,9
leech-lake-band-of-ojibwe,Leech Lake Band of Ojibwe,https://llojibwe.org/aboutUs/demographics.html,11
leech-lake-band-of-ojibwe,Leech Lake Band of Ojibwe,https://llojibwe.org/aboutUs/gaming.html,11
leech-lake-band-of-ojibwe,Leech Lake Band of Ojibwe,https://www.llojibwe.org/aboutUs/demographics.html,11
new-wave-corporation,New Wave Corporation,https://www.newwavecorporated.com/about-3,10
new-wave-corporation,New Wave Corporation,https://www.newwavecorporated.com/account/my-rewards,9
new-wave-corporation,New Wave Corporation,https://www.newwavecorporated.com/product-page/24k,9
mid-coast-radio-project-inc,"Mid-Coast Radio Project, Inc.",https://www.wamc.org/about,8
mid-coast-radio-project-inc,"Mid-Coast Radio Project, Inc.",https://www.wamc.org/about-wamc,8
